ANZSCO,,Total Employed,,,,,,Male Employment,,,,,,Full Time Employment,,,,,,Age Groups,,,,,,,Industry Groups,,,,,,,,,,,,,,,,,,,,Qualification Levels,,,,,,Schooling Levels,,,,,,,Indigenous Status,,,State Government Regions,,,,,,,,,,,,,Apprentiships and Traineeships,,,,,,VET Students,,,,,
Code,Occupation,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,15-24,25-34,35-44,45-54,55-64,65+,Total,"Agriculture, Forestry & Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal & Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring & Real Estate Services","Professional, Scientific & Technical Services",Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Total,Bachelor or Higher,Diploma or Advance Diploma,Certificate III or IV,Certificate I or II,Not Applicable,Total,Year 12 or equivalent,Year 11 or equivalent,Year 10 or equivalent,Year 9 or equivalent,Year 8 or below,Did not go to school,Total,Non-Indigenous,Indigenous,Total,Adelaide Hills,Barossa,Eastern Adelaide,Eyre & Western,Far North,Fleurieu & Kangaroo Island,Limestone Coast,Murray & Mallee,Northern Adelaide,Southern Adelaide,Western Adelaide,Yorke & Mid North,Total,2006,2007,2008,2009,2010,2011,2006,2007,2008,2009,2010,2011
4234,Special Care Workers,64,0,0,194,245,332,0,0,0,0,0,115,0,0,0,0,150,98,40,35,32,37,41,5,191,0,0,0,0,0,0,0,8,0,0,0,0,0,8,8,99,60,0,5,189,36,27,47,3,70,184,122,40,25,3,0,0,190,183,6,189,6,5,40,8,5,5,3,3,27,69,12,6,190,3,5,2,2,0,0,14,15,17,21,22,26
4311,Bar Attendants & Baristas,"4,154","5,577","4,999","5,039","5,119","4,332","1,582","2,522","2,313","2,348","2,733","2,049","1,428","1,741","2,072","2,110","1,760","1,235","2,511","1,077",555,400,225,52,"4,820",7,4,41,3,3,16,120,"4,272",13,10,3,13,6,10,9,13,32,188,20,"4,783",336,185,742,207,"3,162","4,632","3,041",918,598,130,42,8,"4,737","4,737",53,"4,790",174,159,900,166,97,124,217,174,751,"1,015",822,211,"4,821",184,103,133,129,187,165,448,476,507,459,565,573
4312,Cafe Workers,"1,560","1,543","2,165","1,635","1,515","2,053",223,444,342,234,139,353,437,334,542,446,280,650,"1,014",299,318,360,179,28,"2,198",0,0,108,0,0,12,188,"1,598",8,10,0,1,1,4,10,93,48,77,21,"2,178",135,72,239,73,"1,584","2,103","1,019",514,444,132,35,0,"2,144","2,168",12,"2,180",84,105,317,68,44,57,84,62,467,477,360,73,"2,199",76,42,55,53,77,68,114,120,127,117,142,140
4313,Gaming Workers,370,395,382,455,720,502,53,205,233,204,306,256,237,390,202,404,450,289,79,127,76,65,23,0,370,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1,331,0,366,65,24,50,13,202,353,276,53,26,7,0,0,362,368,0,368,12,4,83,1,0,6,0,0,94,97,72,1,369,17,10,12,12,18,16,286,47,46,42,65,75
4314,Hotel Service Managers,327,265,943,561,341,324,85,0,195,168,103,57,281,172,474,383,274,200,88,124,63,77,49,6,408,0,0,0,0,0,0,5,338,0,0,0,0,0,20,0,0,30,9,0,404,65,44,78,6,200,393,255,70,60,11,5,0,401,400,0,401,10,13,80,16,14,14,4,16,81,99,56,5,407,37,10,13,36,80,170,50,47,48,46,61,61
4315,Waiters,"7,644","8,130","9,636","9,944","9,027","8,852","1,230","1,645","1,836","2,416","1,936","1,994","1,947","1,299","2,065","2,073","1,375","1,628","4,964","1,341",551,437,205,29,"7,528",4,0,108,0,8,10,130,"6,715",48,9,5,84,5,23,32,9,110,155,21,"7,476",746,353,770,212,"5,201","7,281","4,818","1,222",993,296,70,12,"7,410","7,404",62,"7,465",419,332,"1,635",160,81,274,243,194,"1,203","1,598","1,121",251,"7,528",330,185,238,230,336,297,692,556,566,519,646,700
4319,Other Hospitality Workers,311,208,399,199,303,259,176,202,148,141,65,153,206,58,1,101,119,58,160,54,29,31,27,3,303,0,0,3,0,4,0,6,161,11,0,0,10,0,5,0,0,6,81,7,294,38,17,33,4,205,296,171,57,44,19,4,0,295,292,0,292,8,4,75,3,0,3,0,11,45,90,58,4,303,15,8,20,12,17,13,11,10,10,8,12,10
4411,Defence Force Members - Other Ranks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,276,137,62,15,0,899,0,0,7,0,4,0,0,0,0,0,0,0,5,0,871,0,0,0,0,887,42,89,203,16,520,870,572,156,150,12,0,0,890,877,16,893,126,52,53,3,0,4,3,6,526,57,59,5,899,0,0,0,0,0,0,259,76,86,86,108,122
4412,Fire & Emergency Workers,886,618,796,898,"1,151","1,620",886,618,796,898,"1,151","1,620",886,618,796,898,"1,151","1,620",22,176,278,311,131,3,921,3,38,7,3,5,0,0,0,25,0,0,0,0,0,815,4,9,0,0,909,122,137,389,32,201,880,542,267,86,12,6,0,913,911,3,914,76,38,110,8,25,31,15,8,133,290,153,30,919,0,0,0,0,0,0,514,418,300,342,426,454
4413,Police,"4,237","4,159","4,298","4,204","3,269","3,573","3,072","3,121","3,486","3,137","2,130","2,487","3,830","3,940","4,151","4,041","3,150","3,151",263,"1,111","1,365","1,145",350,8,"4,244",0,0,0,0,4,0,0,0,0,0,0,0,0,0,"4,187",29,2,0,0,"4,223",628,"1,497",715,61,"1,088","3,988","3,136",848,211,12,4,4,"4,215","4,178",49,"4,228",270,175,367,147,132,68,101,148,858,"1,232",616,129,"4,243",0,0,0,0,0,0,735,600,826,886,943,992
4421,Prison Officers,805,646,750,558,"1,128",993,562,405,750,452,750,738,805,646,750,558,"1,128",870,23,158,241,315,197,10,943,0,0,4,0,0,0,0,0,0,0,0,0,0,0,923,0,6,0,0,933,39,54,432,9,375,910,388,313,186,34,10,0,931,910,26,936,33,33,41,49,162,14,46,114,241,110,82,16,942,68,67,154,65,53,63,101,89,104,108,113,110
4422,Security Officers & Guards,"4,022","2,417","2,310","3,817","4,147","3,310","3,292","2,147","1,571","2,949","3,539","2,889","2,304","1,767","1,141","2,131","2,291","2,168",335,664,689,778,513,73,"3,052",0,14,93,20,26,14,136,115,55,11,14,26,10,25,"2,193",59,63,96,18,"2,988",196,176,827,229,"1,379","2,806","1,265",847,626,158,72,3,"2,972","2,999",25,"3,025",98,97,284,64,49,37,50,50,998,775,503,39,"3,052",35,16,20,9,24,4,262,361,429,429,303,224
4511,Beauty Therapists,"1,425","2,068","1,057",971,897,"1,160",0,0,0,0,0,0,602,"1,073",351,326,545,430,322,422,326,185,46,7,"1,309",0,0,11,0,0,12,72,7,0,0,0,0,0,0,0,5,25,0,"1,155","1,287",45,470,403,35,277,"1,231",726,301,202,36,13,5,"1,284","1,293",7,"1,301",49,41,183,27,5,30,44,43,301,307,242,31,"1,308",28,28,34,34,34,34,226,248,250,217,290,274
4512,Driving Instructors,530,174,400,392,411,552,442,174,279,265,352,413,457,110,269,204,100,196,4,32,86,115,104,19,361,0,7,0,3,0,0,0,0,19,0,0,0,0,0,13,311,0,0,0,353,23,28,163,3,97,315,157,103,78,7,12,3,360,355,3,358,11,15,29,13,3,9,13,16,101,99,44,9,363,3,3,3,2,2,3,"1,047","1,242","1,252","1,296","1,193",530
4513,Funeral Workers,398,282,0,284,398,75,142,132,0,179,185,75,218,185,0,234,398,75,10,28,61,82,94,32,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,297,303,21,25,77,3,152,278,130,93,51,17,9,0,301,302,0,302,11,12,39,18,8,9,11,10,47,70,53,18,306,3,3,3,2,2,3,9,9,10,10,12,14
4514,"Gallery, Museum & Tour Guides",297,358,755,757,253,207,209,46,474,295,91,53,204,296,223,94,147,0,32,51,50,75,69,26,304,0,3,3,0,0,3,11,23,61,0,0,3,4,82,22,12,3,59,0,289,72,24,61,10,121,288,177,53,47,17,3,0,298,289,13,302,18,9,40,5,29,62,7,19,26,39,36,13,303,5,4,4,3,3,4,20,18,18,16,21,26
4515,Personal Care Consultants,500,332,175,208,175,282,124,73,0,0,0,0,0,73,0,70,175,0,21,41,37,64,47,16,226,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,8,167,0,35,222,45,79,26,0,60,210,127,50,23,8,7,0,215,222,0,222,15,7,53,10,0,4,7,9,41,47,26,4,223,2,2,2,2,2,2,6,7,8,12,12,11
4516,Tourism & Travel Advisers,"1,330","1,075","1,693",741,957,994,155,164,97,154,460,147,"1,164",791,"1,028",495,697,662,186,439,332,186,159,43,"1,346",0,4,0,4,0,0,15,21,79,0,11,3,18,"1,107",45,4,4,12,10,"1,337",239,215,374,54,403,"1,286","1,017",212,90,12,3,0,"1,335","1,334",6,"1,340",58,34,255,42,24,46,41,26,262,359,178,19,"1,345",146,121,142,97,168,166,363,356,335,298,405,385
4517,Travel Attendants,397,192,203,243,265,257,147,58,0,0,0,0,272,192,0,46,0,257,71,115,64,28,15,3,297,0,0,0,0,0,0,0,5,271,0,0,0,0,12,3,0,0,0,0,291,31,32,69,14,143,289,222,47,26,0,0,0,296,295,0,295,11,4,46,4,3,4,0,0,37,97,78,7,296,2,2,2,2,24,8,81,88,86,79,96,92
4518,Other Personal Service Workers,429,994,469,769,901,745,39,160,65,0,145,110,259,360,279,112,44,153,122,125,133,186,139,48,754,3,0,7,0,9,0,24,13,0,0,3,0,14,3,7,164,123,24,341,736,146,107,124,13,324,714,407,165,117,27,20,4,740,743,9,752,41,33,104,24,5,34,33,31,150,184,77,39,755,32,28,43,48,62,21,55,60,66,69,81,86
4521,Fitness Instructors,"1,258","2,015","1,850","1,250","2,166","1,954",544,882,"1,090",377,588,708,578,466,856,304,932,799,347,439,330,210,97,45,"1,469",0,0,6,0,5,0,4,5,0,0,0,0,0,4,21,138,87,520,671,"1,461",270,169,623,38,266,"1,367","1,002",269,147,23,7,3,"1,452","1,446",15,"1,461",67,51,256,34,12,32,54,21,291,418,209,20,"1,467",18,17,36,27,34,22,293,294,324,307,320,556
4522,Outdoor Adventure Guides,43,0,58,0,158,147,43,0,58,0,97,43,0,0,58,0,96,147,26,35,12,13,11,8,105,3,0,0,0,0,0,0,0,5,0,0,0,0,4,3,60,11,14,0,100,46,17,20,3,19,105,87,7,8,0,3,0,105,104,0,104,11,0,17,0,0,10,3,10,14,24,13,3,105,5,2,8,2,5,4,9,9,10,11,14,73
4523,"Sports Coaches, Instructors & Officials","1,569","2,400","2,562","2,060","2,266","2,351",856,"1,211",692,841,"1,134","1,376",284,712,218,390,"1,070",540,961,264,261,206,131,46,"1,871",8,0,9,0,0,0,3,7,6,4,5,0,4,3,69,995,30,660,38,"1,842",257,112,223,39,"1,125","1,757","1,222",281,215,93,32,3,"1,845","1,845",16,"1,861",108,71,347,31,3,47,41,27,352,561,255,25,"1,869",17,15,16,24,15,15,78,79,86,87,99,136
4524,Sportspersons,626,580,114,231,664,451,442,445,114,183,434,271,310,510,63,100,379,116,238,121,40,22,12,0,433,0,0,0,0,0,0,16,4,0,0,0,0,0,3,22,29,11,329,0,414,32,28,85,7,260,413,310,51,46,17,0,3,427,419,11,430,13,8,65,4,0,11,11,4,52,129,129,8,435,24,23,16,15,25,28,38,38,41,39,41,74
5111,"Contract, Program & Project Administrators","5,380","6,954","6,610","8,253","7,468","7,644","2,551","3,087","3,244","3,171","3,117","3,734","4,760","5,409","5,494","6,883","6,128","6,463",266,"1,382","1,755","1,774","1,063",90,"6,331",44,113,485,233,449,94,56,18,98,87,175,104,449,135,"2,081",684,742,48,152,"6,247","2,578",958,"1,120",97,"1,456","6,209","4,468","1,173",553,55,16,0,"6,265","6,197",118,"6,316",337,184,"1,196",114,109,95,105,116,"1,330","1,609","1,009",116,"6,331",76,138,141,41,81,125,621,649,678,596,782,811
5121,Office Managers,"9,938","7,895","8,896","9,317","11,166","8,572","1,226",931,"1,450","1,694","1,040","1,446","7,606","6,007","5,637","7,084","7,371","5,906",343,"1,295","1,949","2,532","1,557",226,"7,902",164,75,798,101,879,518,578,163,313,97,252,298,833,272,608,428,855,80,478,"7,789",996,997,"1,445",199,"3,991","7,628","4,118","2,287","1,192",165,59,3,"7,824","7,826",46,"7,873",419,348,"1,150",222,107,177,300,252,"1,715","1,826","1,129",249,"7,901","2,527","2,427","2,836","2,391","2,351","2,479",986,"1,027","1,064","1,033","1,102","1,252"
5122,Practice Managers,"1,115","1,447",440,"1,240","1,530","1,223",247,46,0,1,183,153,768,856,256,830,632,818,20,156,291,430,295,46,"1,239",0,0,5,0,4,4,4,0,0,0,29,0,122,15,15,8,"1,020",0,5,"1,231",327,238,221,16,374,"1,177",772,321,133,4,0,0,"1,230","1,223",9,"1,232",89,42,295,26,14,30,28,36,200,317,131,33,"1,241",5,11,8,13,23,27,61,66,73,83,92,116
5211,Personal Assistants,"3,803","3,700","3,404","3,557","3,959","3,138",0,139,0,143,0,44,"3,174","3,097","2,484","2,887","3,137","2,747",254,753,797,826,588,52,"3,271",25,32,179,61,119,94,91,16,41,51,236,165,449,76,608,380,442,44,115,"3,228",348,428,677,118,"1,609","3,180","1,879",925,395,35,11,1,"3,246","3,238",26,"3,264",165,122,598,60,22,47,56,47,662,863,558,66,"3,274",0,0,0,0,0,0,427,495,523,534,623,673
5212,Secretaries,"7,081","6,168","5,797","5,797","4,671","5,115",51,0,53,176,0,53,"3,560","2,905","2,493","2,623","1,955","2,695",268,493,868,"1,150","1,139",382,"4,299",186,39,310,31,489,164,196,42,172,29,100,106,"1,140",112,178,235,358,35,273,"4,198",328,371,576,129,"2,653","4,057","1,905","1,288",842,129,64,2,"4,230","4,259",17,"4,276",286,182,649,173,48,105,242,168,759,926,588,174,"4,300",0,0,0,0,0,0,406,496,509,495,506,530
5311,General Clerks,"9,291","10,984","11,525","15,020","12,636","13,427","1,766","2,438","1,508","2,640","2,458","1,758","5,985","6,678","6,582","8,675","8,005","7,594","2,074","3,238","4,302","5,028","3,272",549,"18,464",236,167,"1,245",252,"1,173",749,"1,102",235,655,222,861,504,"1,092",635,"3,103","2,209","2,674",169,750,"18,033","2,017","1,684","3,295",600,"10,142","17,737","9,926","5,027","2,740",391,123,7,"18,213","18,142",226,"18,368",819,765,"2,435",594,297,351,715,639,"4,328","4,215","2,662",632,"18,465","1,591","1,421","1,491","1,060",998,957,"1,922","1,885","1,989","1,955","2,211","2,548"
5321,Keyboard Operators,"7,390","6,546","6,252","4,401","6,091","3,601","1,269",639,"1,171",439,606,784,"4,330","4,011","3,929","2,438","3,315","2,272",532,744,838,920,676,97,"3,808",36,39,290,84,159,165,189,28,194,100,292,49,278,239,664,193,600,29,116,"3,747",414,284,572,162,"2,249","3,681","2,018",998,639,77,21,0,"3,753","3,771",24,"3,795",143,127,508,73,55,52,93,84,"1,013",930,651,73,"3,808",18,11,7,4,4,4,375,436,452,450,496,537
5411,Call or Contact Centre Workers,"2,989","2,692","2,723","3,519","3,329","2,253",734,831,"1,002","1,440",832,883,"2,107","1,575","2,433","2,827","2,728","1,806",482,841,472,370,265,14,"2,443",0,0,31,255,31,24,77,4,58,471,410,10,22,341,403,3,193,6,83,"2,424",295,185,485,97,"1,312","2,375","1,550",526,305,39,4,0,"2,424","2,409",22,"2,431",83,40,363,3,30,4,3,17,792,645,456,8,"2,444",164,458,411,836,737,512,460,523,541,526,566,590
5412,Inquiry Clerks,"3,562","5,185","6,530","3,789","4,701","5,001",835,"1,329","1,952","1,600","1,814","1,543","2,777","3,942","5,050","2,964","2,935","3,595",595,994,756,725,419,23,"3,512",3,7,88,314,59,135,261,33,100,459,308,67,59,109,"1,032",136,154,39,111,"3,477",538,294,816,105,"1,635","3,388","2,212",778,410,52,14,0,"3,465","3,454",43,"3,497",130,105,478,48,56,34,45,56,"1,029",890,553,80,"3,511",0,0,0,1,0,0,748,682,702,640,733,756
5421,Receptionists,"13,122","13,876","13,121","15,240","9,968","11,976",491,648,102,552,319,501,"7,300","6,531","6,838","8,751","4,199","5,051","2,053","1,717","2,000","2,624","1,846",214,"10,453",28,26,442,49,330,243,324,621,161,60,238,226,679,271,293,513,"5,256",220,343,"10,322",741,712,"1,813",402,"6,346","10,014","5,469","2,935","1,654",193,47,8,"10,306","10,288",115,"10,403",443,427,"1,368",262,128,261,327,285,"2,440","2,651","1,565",283,"10,451",4,12,11,9,7,20,"1,157","1,194","1,230","1,224","1,345","1,456"
5511,Accounting Clerks,"8,262","7,074","9,034","10,727","9,420","11,120","1,014",979,"1,168","1,825","1,216","1,851","5,065","4,712","4,355","6,522","5,203","6,118",599,"1,636","1,990","1,964","1,314",207,"7,709",96,72,"1,037",165,721,535,611,133,336,137,446,154,633,225,837,478,649,74,262,"7,599","1,020",909,"1,432",238,"3,862","7,462","4,524","1,921","1,006",148,21,4,"7,625","7,634",41,"7,675",324,313,"1,060",151,75,145,215,176,"1,994","1,817","1,241",190,"7,707",18,23,25,20,33,44,814,932,942,941,"1,035","1,106"
5512,Bookkeepers,"8,851","7,154","6,743","8,378","8,619","7,131",700,224,796,475,417,485,"3,211","2,398","2,003","1,750","2,430","1,933",143,730,"1,446","1,519","1,218",336,"5,392",320,21,385,29,782,217,425,150,186,34,150,91,"1,203",129,96,494,229,41,275,"5,258",736,757,901,135,"2,651","5,180","2,752","1,454",952,139,42,0,"5,340","5,341",28,"5,369",400,259,669,163,57,221,244,232,"1,025","1,212",632,273,"5,393",3,2,1,2,7,10,376,442,447,436,470,503
5513,Payroll Clerks,"2,657","3,530","3,140","2,547","2,130","3,191",317,330,232,401,385,602,"1,924","2,331","1,106","1,751","1,186","1,776",129,403,577,565,372,38,"2,084",31,26,241,38,147,74,203,54,87,38,51,20,148,151,365,90,201,21,65,"2,050",213,214,361,77,"1,158","2,022","1,185",542,286,32,8,0,"2,053","2,069",8,"2,077",85,74,229,37,17,29,72,65,562,541,330,39,"2,085",0,0,0,0,0,0,236,278,282,282,293,328
5521,Bank Workers,"4,306","4,053","3,652","3,298","4,625","3,608",564,358,451,676,840,985,"1,876","1,661","1,746","1,602","2,818","1,987",507,945,986,952,452,17,"3,860",0,0,8,1,9,14,32,0,6,0,"3,727",8,8,7,12,4,4,5,0,"3,847",507,284,530,134,"2,307","3,762","2,530",910,340,42,7,3,"3,833","3,821",30,"3,851",148,134,472,119,64,92,137,114,890,998,544,150,"3,862",91,72,121,160,133,162,440,499,506,501,520,525
5522,Credit & Loans Officers,"3,267","2,985","3,132","2,549","2,711","2,657","1,279",951,"1,283","1,155","1,079",715,"2,508","2,247","2,552","2,352","2,225","1,819",138,524,544,494,282,14,"1,995",0,0,13,1,0,17,109,0,4,0,"1,716",53,13,4,34,3,17,0,3,"1,988",348,249,316,53,979,"1,945","1,361",453,147,10,3,0,"1,974","1,984",5,"1,989",58,55,268,45,7,27,43,37,461,573,381,38,"1,994",61,49,83,108,96,111,310,337,337,339,349,350
5523,"Insurance, Money Market & Statistical Clerks","2,362","1,702","2,212","1,435","2,042","2,209",296,258,445,160,358,437,"1,685","1,141","1,273","1,037","1,952","1,767",252,647,480,387,221,33,"2,019",0,4,22,5,0,17,12,0,8,0,"1,606",6,34,24,167,19,43,16,21,"2,003",329,224,378,78,962,"1,970","1,344",470,172,13,6,0,"2,005","2,003",10,"2,013",75,31,301,32,7,17,31,25,539,606,330,22,"2,017",45,32,55,75,62,77,403,434,434,442,466,479
5611,Betting Clerks,93,0,82,222,0,104,93,0,37,54,0,104,93,0,0,0,0,104,17,20,13,41,55,19,166,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,148,0,165,13,3,14,4,127,161,64,59,30,6,7,0,166,165,0,165,3,9,17,0,3,3,0,0,48,42,40,0,166,0,0,0,0,0,0,0,0,0,0,0,0
5612,Couriers & Postal Deliverers,"4,543","3,493","4,164","2,926","3,517","2,886","3,717","2,798","3,370","2,510","2,745","2,540","2,907","2,474","2,975","2,111","2,297","2,068",146,352,609,922,779,165,"2,974",3,4,35,0,8,61,57,6,"2,442",9,3,0,18,14,19,5,250,5,11,"2,953",177,156,577,42,"1,913","2,865","1,077",867,710,153,86,7,"2,900","2,926",28,"2,954",116,107,279,57,35,63,99,90,816,752,454,98,"2,973",0,0,0,0,0,0,91,83,82,64,92,95
5613,Filing & Registry Clerks,"1,165",835,"1,025","1,255","1,052",878,255,53,433,219,100,50,589,355,627,743,447,450,221,227,233,270,208,33,"1,192",11,24,58,38,33,18,25,11,28,13,59,14,139,39,292,55,275,7,33,"1,172",160,98,235,42,613,"1,148",723,283,144,18,9,0,"1,177","1,176",14,"1,190",57,52,193,26,27,27,26,19,261,293,187,22,"1,193",0,0,0,0,0,0,170,201,209,213,217,237
5614,Mail Sorters,"1,867","1,117",860,871,"1,485",463,"1,201",745,653,313,"1,068",237,962,722,650,414,748,372,57,119,139,238,157,21,732,0,0,7,0,0,7,9,0,598,8,17,3,4,16,26,4,17,0,4,721,61,48,97,16,484,706,344,199,134,31,13,0,722,708,17,725,22,14,89,9,3,9,20,17,187,203,140,17,730,0,0,0,0,0,0,59,69,70,64,68,65
5615,Survey Interviewers,565,832,373,340,155,598,200,122,48,54,0,150,140,200,122,180,0,102,17,9,26,50,82,23,208,0,0,0,0,0,0,0,0,0,10,0,0,188,0,8,0,0,0,0,206,48,19,34,8,97,207,112,54,37,7,0,0,210,209,0,209,3,4,48,0,0,3,0,3,58,47,40,3,210,0,0,0,0,0,0,0,0,0,0,0,0
5616,Switchboard Operators,454,644,252,519,591,640,44,188,119,50,0,0,207,427,60,236,393,248,65,48,57,80,73,19,342,0,0,9,6,4,6,16,16,67,27,24,8,0,17,25,5,84,0,23,338,18,23,52,13,222,327,156,76,72,12,10,0,326,339,0,339,16,7,34,6,0,8,5,7,102,89,69,0,343,0,0,0,0,0,0,18,19,21,24,27,31
5619,Other Clerical & Office Support Workers,883,386,"1,306",464,752,327,278,168,722,246,366,104,712,202,899,365,253,273,227,161,221,253,378,217,"1,457",0,0,15,17,9,8,32,4,9,26,13,4,888,161,193,14,21,5,17,"1,438",277,155,285,40,648,"1,406",813,357,206,48,13,0,"1,437","1,415",35,"1,450",62,50,175,55,27,70,65,67,286,309,183,105,"1,456",0,0,0,0,0,0,96,116,120,117,124,133
5911,Purchasing & Supply Logistics Clerks,"6,903","6,716","4,241","4,935","4,811","5,268","4,339","4,362","2,449","2,672","2,839","3,226","5,727","5,414","3,738","4,043","3,708","4,327",430,"1,111","1,205","1,183",765,86,"4,782",40,119,"1,304",124,144,841,846,86,277,78,49,84,107,60,277,43,158,18,71,"4,727",501,435,"1,033",115,"2,537","4,621","2,494","1,262",800,121,32,4,"4,713","4,741",21,"4,762",185,257,500,96,43,69,128,117,"1,456","1,072",776,80,"4,781",64,136,139,104,167,250,"1,142","1,036","1,018",576,874,751
5912,Transport & Despatch Clerks,"1,988","2,697","2,563","2,691","2,292","2,298","1,708","2,081","2,227","2,180","1,603","1,534","1,785","2,193","2,206","2,383","2,093","2,092",142,445,521,529,303,47,"1,987",18,23,427,37,32,211,141,3,844,12,16,12,20,36,58,14,30,4,27,"1,967",170,142,415,32,"1,139","1,897",982,523,347,72,33,0,"1,957","1,965",11,"1,976",71,120,155,44,32,22,59,62,595,383,401,42,"1,987",37,58,66,114,97,98,394,334,329,151,249,201
5991,Conveyancers & Legal Executives,"1,158","1,036","1,582",881,665,680,344,325,244,230,148,186,822,732,"1,253",625,521,680,47,172,172,146,162,55,754,3,0,4,8,7,0,0,3,0,0,20,87,589,0,24,3,0,0,0,750,111,195,136,15,165,621,496,175,70,4,0,0,746,746,6,752,49,23,176,8,3,13,19,19,137,184,111,13,756,2,5,13,3,4,2,59,83,113,111,157,134
5992,Court & Legal Clerks,"1,167","1,157",286,536,"1,329","1,298",370,305,61,47,467,512,857,790,286,427,974,"1,004",165,183,144,187,141,33,854,0,3,5,0,0,0,4,3,0,0,69,19,255,0,475,0,6,0,0,840,207,83,132,19,396,836,571,180,81,9,3,0,845,833,18,851,46,17,193,17,10,3,17,15,175,229,118,14,853,3,8,4,0,0,0,37,36,46,51,62,73
5993,Debt Collectors,706,917,435,"1,226",715,699,241,277,124,417,106,201,666,330,340,"1,133",484,388,81,167,145,129,86,16,624,0,0,15,5,3,14,15,0,8,16,172,7,25,122,181,12,22,0,3,621,96,63,120,18,308,604,403,136,68,5,5,0,618,616,7,623,23,19,86,7,3,6,7,6,167,176,114,8,625,0,0,0,0,0,0,82,96,97,94,100,104
5994,Human Resource Clerks,628,869,"1,065",713,749,595,312,116,467,145,318,162,580,400,923,478,602,443,54,137,153,137,77,4,561,4,19,25,13,21,4,23,3,38,15,24,4,16,44,95,41,144,12,9,555,82,55,155,11,243,547,348,120,76,14,0,0,559,549,6,555,26,16,86,14,15,0,3,14,148,154,76,8,560,65,76,93,65,55,54,144,141,144,95,146,128
5995,Inspectors & Regulatory Officers,"2,060","2,378","2,557","3,020","2,378","2,984",705,"1,195","1,434","1,660","1,094","1,708","1,474","2,115","2,323","2,928","2,208","2,630",93,577,727,681,404,29,"2,510",3,8,18,41,24,9,3,3,88,0,29,7,43,17,"2,103",15,38,14,20,"2,486",662,261,596,66,872,"2,456","1,694",498,232,42,16,0,"2,482","2,451",44,"2,495",110,66,308,50,54,33,62,52,608,690,414,51,"2,508",106,103,23,4,3,4,267,320,365,355,436,457
5996,"Insurance Investigators, Loss Adjusters & Risk Surveyors",555,354,340,147,516,424,429,316,340,0,414,288,555,354,340,147,516,322,7,39,64,63,57,17,248,0,0,0,0,0,0,0,0,0,0,219,0,3,0,17,0,0,0,4,243,42,31,93,4,58,229,125,79,40,0,0,0,244,246,3,249,20,3,35,3,0,0,3,3,58,79,37,6,248,0,0,0,0,0,0,47,45,48,48,51,50
5997,Library Assistants,915,985,707,830,"1,783","1,164",0,158,49,107,325,68,316,239,198,206,449,370,77,102,164,301,251,25,921,0,0,0,0,0,6,4,0,0,109,0,0,0,0,210,567,8,0,7,912,171,103,152,25,434,884,525,224,139,16,3,0,906,908,10,918,50,36,143,43,22,31,45,37,150,206,107,49,919,1,7,3,4,3,6,33,36,41,38,39,41
5999,Other Miscellaneous Clerical & Administrative Workers,"1,079","1,096","1,187","1,078","1,116",849,631,382,515,549,161,413,699,907,668,819,716,498,90,234,233,266,235,58,"1,116",3,7,37,22,21,13,30,4,137,66,45,12,192,42,131,96,202,22,24,"1,107",236,148,249,25,418,"1,076",677,259,137,25,10,0,"1,108","1,108",4,"1,112",50,37,169,31,18,20,28,20,240,287,171,46,"1,118",1,1,0,1,0,2,82,94,104,119,135,143
6111,"Auctioneers, & Stock & Station Agents",346,145,535,569,656,988,166,145,535,569,577,655,268,145,535,569,521,933,18,39,54,80,61,20,273,18,0,3,0,0,195,28,0,3,0,3,11,7,0,3,0,0,0,0,272,19,13,49,9,169,259,119,83,49,8,5,0,264,271,0,271,8,15,15,25,6,12,83,18,15,22,8,44,272,6,2,9,12,14,11,28,32,34,31,36,35
6112,Insurance Agents,663,"1,488",961,"1,172",932,611,180,621,256,326,477,310,616,"1,438",860,582,672,361,72,209,200,157,104,9,751,0,0,0,0,0,5,10,0,0,0,714,1,0,0,4,0,5,0,14,754,62,153,149,33,320,718,498,176,61,11,5,0,750,743,4,747,28,23,111,17,3,15,22,18,177,218,108,14,754,0,0,0,0,0,2,178,192,187,191,193,189
